"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
4834,"jbatch","SPEC","cvignola","NEW","---","SPEC - JobExecution handed to JobOperator client ""by reference"" or ""by value""?","2015-10-01 13:47:33"
5075,"jbatch","SPEC","ScottKurz","NEW","---","Injecting JobOperator","2015-10-01 13:47:31"
5382,"jbatch","SPEC","ScottKurz","NEW","---","Support common java types in @BatchProperty injection","2015-10-08 13:54:02"
5383,"jbatch","SPEC","ScottKurz","NEW","---","Support @PostConstruct and @PreDestroy callbacks in batch artifacts","2016-03-24 14:39:42"
5386,"jbatch","SPEC","ScottKurz","NEW","---","Consider allowing decision as first execution element within job.","2015-10-01 13:47:32"
5416,"jbatch","SPEC","ScottKurz","NEW","---","Require artifact loading via CDI when CDI is ""available"" (beans.xml is present)?","2015-10-01 13:47:32"
5432,"jbatch","SPEC","ScottKurz","NEW","---","Add getException method to StepExecution interface","2015-10-01 13:47:31"
5502,"jbatch","SPEC","ScottKurz","NEW","---","Metrics across retry","2015-10-01 13:47:31"
5515,"jbatch","SPEC","ScottKurz","NEW","---","Address propagation of contexts (JNDI, classloader?) across threads, in EE","2015-10-01 13:47:30"
5701,"jbatch","SPEC","ScottKurz","NEW","---","Support @BatchProperty injection on method, not just field","2015-10-01 13:47:32"
5728,"jbatch","SPEC","ScottKurz","NEW","---","Section 11 threading requirements for Job's and Step's should be relaxed","2015-10-01 13:47:30"
5760,"jbatch","SPEC","ScottKurz","NEW","---","Spec should clarify that reader/write close() get called after exceptions","2016-06-20 20:47:36"
5776,"jbatch","SPEC","ScottKurz","NEW","---","Support StepContext.getJobContext() method","2015-10-01 13:47:29"
5779,"jbatch","SPEC","ScottKurz","NEW","---","Clarify that on restart the ""defaults"" for the ""restartParameters"" java.util.Properties object should be used (i.e. that a getProperty is done)","2015-10-06 18:09:10"
5926,"jbatch","SPEC","ScottKurz","NEW","---","add attribute to job xml partition element to enable distributed/clustered execution","2016-01-13 21:29:48"
6234,"jbatch","SPEC","ScottKurz","NEW","---","Add @Documented meta-annotation to BatchProperty definition","2014-07-14 20:56:38"
6288,"jbatch","SPEC","ScottKurz","NEW","---","Consider a beforeStep/afterStep-equivalent that runs on a partition thread.","2016-03-30 15:14:36"
6356,"jbatch","SPEC","ScottKurz","NEW","---","PartitionAnalyzer transaction boundary on partitioned chunk (and batchlet) step need clarification","2015-12-10 14:06:31"
6427,"jbatch","SPEC","ScottKurz","NEW","---","Exception on analyzer thread leaves partitions executing while failing job, causing an immediate job restart to fail.","2015-09-03 16:17:25"
6456,"jbatch","SPEC","ScottKurz","NEW","---","Spec says that writer should be closed before reader.  RI does things in reverse.","2016-03-10 22:15:07"
6457,"jbatch","SPEC","ScottKurz","NEW","---","On retry with rollback, we only want to process the most recent chunk with item-size = 1, even with custom checkpoint algorithm","2015-01-05 19:31:41"
6458,"jbatch","SPEC","ScottKurz","NEW","---","Should ItemReadListener get called after readItem() return null?","2014-10-22 20:16:58"
6473,"jbatch","SPEC","ScottKurz","NEW","---","AbstractItemWriteListener missing from spec.","2014-10-21 19:20:09"
6490,"jbatch","SPEC","ScottKurz","NEW","---","Add an API to get StepExecution for individual partitions","2016-02-09 15:13:07"
6509,"jbatch","SPEC","ScottKurz","NEW","---","item-count text mentions ""number of items processed"" when EG had decided on ""number of items read""","2014-11-09 21:21:51"
6511,"jbatch","SPEC","ScottKurz","NEW","---","improve working on 'skippable' and 'retryable' exceptions","2014-11-10 17:41:58"
6512,"jbatch","SPEC","ScottKurz","NEW","---","Clarify if READ_RETRY_COUNT and onReadError (and corresponding for skip) get called on error in #checkpointInfo","2014-11-10 17:46:56"
6581,"jbatch","SPEC","ScottKurz","NEW","---","Suppot script languages in certain batch artifacts","2015-09-02 16:45:02"
6587,"jbatch","SPEC","ScottKurz","NEW","---","Consider clarifying when ChunkListener#onError() is called","2015-10-19 20:23:43"
6702,"jbatch","SPEC","ScottKurz","NEW","---","skip and retry for exceptions from chunk listeners","2016-03-24 14:43:25"
6703,"jbatch","SPEC","ScottKurz","NEW","---","To clarify the behavior after skip-limit and retry-limit are exceeded","2015-02-03 18:24:05"
6790,"jbatch","SPEC","ScottKurz","NEW","---","JavaDoc clarification for JobExecution getStartTime() and getEndTime() return values","2015-09-03 16:18:23"
6796,"jbatch","SPEC","ScottKurz","NEW","---","@BatchProperty injection should keep field default value in case of no matching batch property","2015-09-01 21:23:35"
6825,"jbatch","SPEC","ScottKurz","NEW","---","Step failed with <fail> element not restartable","2016-02-10 17:01:35"
6828,"jbatch","SPEC","ScottKurz","NEW","---","Change the words ""SkipListener"" and ""RetryListener"" to specific listener names","2015-03-19 17:37:40"
6975,"jbatch","SPEC","ScottKurz","NEW","---","Clarify timepoint and status of job when JobListener#afterJob() is called","2015-05-05 19:26:56"
7282,"jbatch","SPEC","ScottKurz","NEW","---","Do we want to update XSD ?","2015-09-22 15:21:51"
7284,"jbatch","SPEC","ScottKurz","NEW","---","Standardize waiting/blocking for job termination","2015-09-05 09:11:58"
7288,"jbatch","SPEC","ScottKurz","NEW","---","Define custom CDI scopes for batch (@StepScoped, @JobScoped), possibly @ChunkScoped along with initialized/destroyed events","2016-03-24 16:17:38"
7289,"jbatch","SPEC","ScottKurz","NEW","---","Implicit conversion in chunk steps","2015-09-05 09:23:40"
7290,"jbatch","SPEC","ScottKurz","NEW","---","parallel processing for processors","2015-09-05 09:30:49"
7291,"jbatch","SPEC","ScottKurz","NEW","---","Bean Validation integration","2015-10-06 21:26:18"
7295,"jbatch","SPEC","ScottKurz","NEW","---","typed ItemWriter, ItemReader, ItemProcessor, etc","2016-03-25 19:17:33"
7318,"jbatch","SPEC","ScottKurz","NEW","---","Provider JobOperator-related DTOs","2015-09-23 19:21:06"
7337,"jbatch","SPEC","ScottKurz","NEW","---","Allow override on JSL-defined <plan> (in addition to mapper-constructed plan)","2015-10-06 18:03:17"
7338,"jbatch","SPEC","ScottKurz","NEW","---","JobOperator called from within existing global transaction","2015-10-06 21:10:24"
7342,"jbatch","SPEC","ScottKurz","NEW","---","Clarify that analyzer calls from collector are in-order (per partition)","2015-10-08 15:54:10"
7350,"jbatch","SPEC","ScottKurz","NEW","---","Consider adding onError to Batchlet","2016-04-22 18:11:39"
7361,"jbatch","SPEC","ScottKurz","NEW","---","Provide a stop() call for chunk steps","2015-10-22 18:25:40"
7368,"jbatch","SPEC","ScottKurz","NEW","---","add javax.batch.operations.JobOperator#getJobExecutions(long)","2016-03-23 17:23:46"
